,filename,caption_old,caption,caption_new
0,augmented/0_aug_amazonfurniture_page1_1_0_3335.png,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown",zinus ricardo contemporary upholstered sofa living room couch chestnut brown,upholstered sofa living room couch chestnut brown
1,augmented/1_aug_amazonfurniture_page1_7_0_6739.png,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black
2,augmented/2_aug_amazonfurniture_page1_7_0_6277.png,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black
3,augmented/3_aug_amazonfurniture_page1_11_0_5523.png,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy",stone and beam bradbury chesterfield tufted loveseat sofa couch  navy,chesterfield tufted loveseat sofa couch navy
4,augmented/4_aug_amazonfurniture_page1_6_0_9959.png,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown",homelegance resonance  bonded leather double reclining sofa brown,leather double reclining sofa brown
5,augmented/5_aug_amazonfurniture_page1_7_0_3302.png,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black
6,augmented/6_aug_amazonfurniture_page1_15_0_8138.png,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black
7,augmented/7_aug_amazonfurniture_page1_3_0_98.png,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber,flash furniture benchcraft maier sectional with right side facing chaise charcoal microfiber,maier sectional with right side facing chaise charcoal microfiber
8,augmented/8_aug_amazonfurniture_page1_15_0_1491.png,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black
9,augmented/9_aug_amazonfurniture_page1_14_0_5954.png,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black",lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black,lifestyle solutions kd rolled arm collection grayson micro fabric sofa black
