,Unnamed: 0,filename,caption
0,0,amazonfurniture_page1_0.png,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave"
1,1,amazonfurniture_page1_1.png,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown"
2,2,amazonfurniture_page1_2.png,"HONBAY Convertible Sectional Sofa Couch, L-Shaped Couch with Modern Linen Fabric for Small Space Dark Grey"
3,3,amazonfurniture_page1_3.png,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber
4,4,amazonfurniture_page1_4.png,"Serta RTA Palisades Collection 78"" Sofa in Riverfront Brown"
5,5,amazonfurniture_page1_5.png,Ashley Furniture Signature Design - Larkinhurst Sofa - Contemporary Style Couch - Earth
6,6,amazonfurniture_page1_6.png,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown"
7,7,amazonfurniture_page1_7.png,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black
8,8,amazonfurniture_page1_8.png,"Stone & Beam Carrigan Modern Sofa Couch with Slipcover, 88.5""W, Natural"
9,9,amazonfurniture_page1_9.png,"Rivet Revolve Modern Upholstered Sofa with Tapered Legs, 79.9""W, Denim"
10,10,amazonfurniture_page1_10.png,"Rivet Aiden Tufted Mid-Century Modern Velvet Bench Loveseat Sofa, 74""W, Otter Grey"
11,11,amazonfurniture_page1_11.png,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy"
12,12,amazonfurniture_page1_12.png,"Ravenna Home Darian Oversized Pillow Sofa, 92""W, Charcoal"
13,13,amazonfurniture_page1_13.png,"Serta Rane Collection Convertible Sofa, L66.1 x W33.1 x H29.5, Navy Blue"
14,14,amazonfurniture_page1_14.png,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black"
15,15,amazonfurniture_page1_15.png,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black
16,16,amazonfurniture_page1_16.png,Ashley Furniture Signature Design - Bladen Contemporary Plush Upholstered Sofa - Coffee Brown
17,17,amazonfurniture_page1_17.png,"Zinus Josh Traditional Upholstered 77.5 Inch Sofa/Living Room Couch, Beige Weave"
18,18,amazonfurniture_page1_18.png,"Zinus Ricardo Contemporary Upholstered 78.4 inch Sofa / Living Room Couch, Dark Grey"
19,19,amazonfurniture_page1_19.png,"LifeStyle Solutions Harrington Sofa in Grey, Dark Grey"
