,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,caption,caption_new,caption_old,filename,index,level_0
0,3.0,3.0,3.0,flash furniture benchcraft maier sectional with right side facing chaise charcoal microfiber,maier sectional with right side facing chaise charcoal microfiber,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber,amazonfurniture_page1_3.png,3.0,3.0
1,12.0,17.0,18.0,zinus ricardo contemporary upholstered  inch sofa living room couch dark grey,upholstered inch sofa living room couch dark grey,"Zinus Ricardo Contemporary Upholstered 78.4 inch Sofa / Living Room Couch, Dark Grey",amazonfurniture_page1_18.png,18.0,17.0
2,9.0,14.0,14.0,lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black,lifestyle solutions kd rolled arm collection grayson micro fabric sofa black,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black",amazonfurniture_page1_14.png,14.0,14.0
3,10.0,15.0,15.0,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,amazonfurniture_page1_15.png,15.0,15.0
4,5.0,7.0,7.0,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,amazonfurniture_page1_7.png,7.0,7.0
5,8.0,11.0,11.0,stone and beam bradbury chesterfield tufted loveseat sofa couch  navy,chesterfield tufted loveseat sofa couch navy,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy",amazonfurniture_page1_11.png,11.0,11.0
6,4.0,6.0,6.0,homelegance resonance  bonded leather double reclining sofa brown,leather double reclining sofa brown,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown",amazonfurniture_page1_6.png,6.0,6.0
7,1.0,1.0,1.0,zinus ricardo contemporary upholstered sofa living room couch chestnut brown,upholstered sofa living room couch chestnut brown,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown",amazonfurniture_page1_1.png,1.0,1.0
8,,,,zinus ricardo contemporary upholstered sofa living room couch chestnut brown,upholstered sofa living room couch chestnut brown,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown",augmented/0_aug_amazonfurniture_page1_1_0_329.png,,
9,,,,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,augmented/1_aug_amazonfurniture_page1_7_0_9507.png,,
10,,,,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,augmented/2_aug_amazonfurniture_page1_7_0_7395.png,,
11,,,,stone and beam bradbury chesterfield tufted loveseat sofa couch  navy,chesterfield tufted loveseat sofa couch navy,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy",augmented/3_aug_amazonfurniture_page1_11_0_2479.png,,
12,,,,homelegance resonance  bonded leather double reclining sofa brown,leather double reclining sofa brown,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown",augmented/4_aug_amazonfurniture_page1_6_0_3175.png,,
13,,,,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,faux leather futon sofa bed fold up and down recliner couch with cup holders black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,augmented/5_aug_amazonfurniture_page1_7_0_5623.png,,
14,,,,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,augmented/6_aug_amazonfurniture_page1_15_0_6932.png,,
15,,,,flash furniture benchcraft maier sectional with right side facing chaise charcoal microfiber,maier sectional with right side facing chaise charcoal microfiber,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber,augmented/7_aug_amazonfurniture_page1_3_0_4186.png,,
16,,,,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,augmented/8_aug_amazonfurniture_page1_15_0_8822.png,,
17,,,,lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black,lifestyle solutions kd rolled arm collection grayson micro fabric sofa black,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black",augmented/9_aug_amazonfurniture_page1_14_0_2962.png,,
