,Unnamed: 0,level_0,Unnamed: 0.1,index,Unnamed: 0.1.1,filename,caption,caption_old,caption_new
0,3,3,3,3,3,amazonfurniture_page1_3.png,flash furniture benchcraft maier sectional with right side facing chaise charcoal microfiber,Flash Furniture Benchcraft Maier Sectional with Right Side Facing Chaise in Charcoal Microfiber,maier sectional with right side facing chaise charcoal microfiber
1,12,17,17,18,18,amazonfurniture_page1_18.png,zinus ricardo contemporary upholstered  inch sofa living room couch dark grey,"Zinus Ricardo Contemporary Upholstered 78.4 inch Sofa / Living Room Couch, Dark Grey",upholstered inch sofa living room couch dark grey
2,9,14,14,14,14,amazonfurniture_page1_14.png,lifestyle solutions kd rolled arm collection grayson micro fabric sofa  black,"Lifestyle Solutions KD Rolled-Arm Collection Grayson Micro-Fabric Sofa, 80.3""x32""x32.68"", Black",lifestyle solutions kd rolled arm collection grayson micro fabric sofa black
3,10,15,15,15,15,amazonfurniture_page1_15.png,fdw sofa sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black,FDW Sofa Sectional Sofa Futon Sofa Bed Corner Sofas for Living Room Furniture Couch and Sofas Set Leather Sleeper Modern Contemporary Upholstered Black,sectional sofa futon sofa bed corner sofas for living room furniture couch and sofas set leather sleeper modern contemporary upholstered black
4,5,7,7,7,7,amazonfurniture_page1_7.png,best choice products modern faux leather futon sofa bed fold up and down recliner couch with cup holders  black,Best Choice Products Modern Faux Leather Futon Sofa Bed Fold Up & Down Recliner Couch with Cup Holders - Black,faux leather futon sofa bed fold up and down recliner couch with cup holders black
5,8,11,11,11,11,amazonfurniture_page1_11.png,stone and beam bradbury chesterfield tufted loveseat sofa couch  navy,"Stone & Beam Bradbury Chesterfield Tufted Loveseat Sofa Couch, 78.7""W, Navy",chesterfield tufted loveseat sofa couch navy
6,4,6,6,6,6,amazonfurniture_page1_6.png,homelegance resonance  bonded leather double reclining sofa brown,"Homelegance Resonance 83"" Bonded Leather Double Reclining Sofa, Brown",leather double reclining sofa brown
7,1,1,1,1,1,amazonfurniture_page1_1.png,zinus ricardo contemporary upholstered sofa living room couch chestnut brown,"Zinus Ricardo Contemporary Upholstered 78.4 Inch Sofa / Living Room Couch, Chestnut Brown",upholstered sofa living room couch chestnut brown
8,11,16,16,16,16,amazonfurniture_page1_16.png,ashley furniture signature design  bladen contemporary plush upholstered sofa  coffee brown,Ashley Furniture Signature Design - Bladen Contemporary Plush Upholstered Sofa - Coffee Brown,ashley furniture signature design bladen contemporary plush upholstered sofa coffee brown
9,7,10,10,10,10,amazonfurniture_page1_10.png,rivet aiden tufted mid century modern velvet bench loveseat sofa  otter grey,"Rivet Aiden Tufted Mid-Century Modern Velvet Bench Loveseat Sofa, 74""W, Otter Grey",tufted mid century modern velvet bench loveseat sofa otter grey
